x,y,global_ctr,tag,ld,st,amoswap,amoor
0,0,267482,2231631872,44,32,0,0
1,0,267482,2231631872,53,32,0,0
2,0,267482,2231631872,192,38,0,0
3,0,267482,2231631872,92,32,0,0
4,0,267482,2231631872,112,32,0,0
5,0,267482,2231631872,103,26,0,0
6,0,267482,2231631872,95,16,0,0
7,0,267482,2231631872,74,16,0,0
8,0,267482,2231631872,64,16,0,0
9,0,267482,2231631872,64,16,0,0
10,0,267482,2231631872,42,16,0,0
11,0,267482,2231631872,5,16,0,0
12,0,267482,2231631872,0,16,0,0
13,0,267482,2231631872,0,16,0,0
14,0,267482,2231631872,0,16,0,0
15,0,267482,2231631872,0,16,0,0
0,10,267482,2231631872,0,16,0,0
1,10,267482,2231631872,0,16,0,0
2,10,267482,2231631872,0,16,0,0
3,10,267482,2231631872,0,16,0,0
4,10,267482,2231631872,0,16,0,0
5,10,267482,2231631872,0,16,0,0
6,10,267482,2231631872,0,16,0,0
7,10,267482,2231631872,0,16,0,0
8,10,267482,2231631872,0,16,0,0
9,10,267482,2231631872,0,16,0,0
10,10,267482,2231631872,0,16,0,0
11,10,267482,2231631872,4,16,0,0
12,10,267482,2231631872,12,16,0,0
13,10,267482,2231631872,18,16,0,0
14,10,267482,2231631872,26,16,0,0
15,10,267482,2231631872,34,16,0,0
0,0,267558,2231894016,47,32,0,0
1,0,267558,2231894016,68,32,0,0
2,0,267558,2231894016,211,38,0,0
3,0,267558,2231894016,92,32,0,0
4,0,267558,2231894016,112,32,0,0
5,0,267558,2231894016,112,26,0,0
6,0,267558,2231894016,108,16,0,0
7,0,267558,2231894016,89,16,0,0
8,0,267558,2231894016,69,16,0,0
9,0,267558,2231894016,64,16,0,0
10,0,267558,2231894016,64,16,0,0
11,0,267558,2231894016,36,16,0,0
12,0,267558,2231894016,0,16,0,0
13,0,267558,2231894016,0,16,0,0
14,0,267558,2231894016,0,16,0,0
15,0,267558,2231894016,0,16,0,0
0,10,267558,2231894016,0,16,0,0
1,10,267558,2231894016,0,16,0,0
2,10,267558,2231894016,0,16,0,0
3,10,267558,2231894016,0,16,0,0
4,10,267558,2231894016,0,16,0,0
5,10,267558,2231894016,0,16,0,0
6,10,267558,2231894016,0,16,0,0
7,10,267558,2231894016,0,16,0,0
8,10,267558,2231894016,0,16,0,0
9,10,267558,2231894016,0,16,0,0
10,10,267558,2231894016,0,16,0,0
11,10,267558,2231894016,12,16,0,0
12,10,267558,2231894016,21,16,0,0
13,10,267558,2231894016,22,16,0,0
14,10,267558,2231894016,35,16,0,0
15,10,267558,2231894016,36,16,0,0
0,0,267642,2232156160,60,32,0,0
1,0,267642,2232156160,73,32,0,0
2,0,267642,2232156160,216,38,0,0
3,0,267642,2232156160,108,32,0,0
4,0,267642,2232156160,118,32,0,0
5,0,267642,2232156160,112,26,0,0
6,0,267642,2232156160,112,16,0,0
7,0,267642,2232156160,105,16,0,0
8,0,267642,2232156160,89,16,0,0
9,0,267642,2232156160,64,16,0,0
10,0,267642,2232156160,64,16,0,0
11,0,267642,2232156160,63,16,0,0
12,0,267642,2232156160,12,16,0,0
13,0,267642,2232156160,0,16,0,0
14,0,267642,2232156160,0,16,0,0
15,0,267642,2232156160,0,16,0,0
0,10,267642,2232156160,0,16,0,0
1,10,267642,2232156160,0,16,0,0
2,10,267642,2232156160,0,16,0,0
3,10,267642,2232156160,0,16,0,0
4,10,267642,2232156160,0,16,0,0
5,10,267642,2232156160,0,16,0,0
6,10,267642,2232156160,0,16,0,0
7,10,267642,2232156160,0,16,0,0
8,10,267642,2232156160,0,16,0,0
9,10,267642,2232156160,0,16,0,0
10,10,267642,2232156160,9,16,0,0
11,10,267642,2232156160,20,16,0,0
12,10,267642,2232156160,25,16,0,0
13,10,267642,2232156160,34,16,0,0
14,10,267642,2232156160,39,16,0,0
15,10,267642,2232156160,48,16,0,0
0,0,338737,3254779904,1904,48,0,0
1,0,338737,3254779904,2032,48,0,0
2,0,338737,3254779904,2160,38,0,0
3,0,338737,3254779904,3168,32,0,0
4,0,338737,3254779904,1792,32,0,0
5,0,338737,3254779904,1792,26,0,0
6,0,338737,3254779904,1792,16,0,0
7,0,338737,3254779904,1792,16,0,0
8,0,338737,3254779904,1792,16,0,0
9,0,338737,3254779904,1792,16,0,0
10,0,338737,3254779904,1792,16,0,0
11,0,338737,3254779904,1792,16,0,0
12,0,338737,3254779904,1792,16,0,0
13,0,338737,3254779904,1792,16,0,0
14,0,338737,3254779904,1792,16,0,0
15,0,338737,3254779904,1792,16,0,0
0,10,338737,3254779904,1792,16,0,0
1,10,338737,3254779904,1792,16,0,0
2,10,338737,3254779904,1792,16,0,0
3,10,338737,3254779904,1792,16,0,0
4,10,338737,3254779904,1792,16,0,0
5,10,338737,3254779904,1792,16,0,0
6,10,338737,3254779904,1792,16,0,0
7,10,338737,3254779904,1792,16,0,0
8,10,338737,3254779904,1776,32,0,0
9,10,338737,3254779904,1776,32,0,0
10,10,338737,3254779904,1776,32,0,0
11,10,338737,3254779904,1776,32,0,0
12,10,338737,3254779904,1776,32,0,0
13,10,338737,3254779904,1776,32,0,0
14,10,338737,3254779904,1776,32,0,0
15,10,338737,3254779904,1776,32,0,0
0,0,338755,3255304192,1904,48,0,0
1,0,338755,3255304192,2032,48,0,0
2,0,338755,3255304192,2160,38,0,0
3,0,338755,3255304192,3168,32,0,0
4,0,338755,3255304192,1792,32,0,0
5,0,338755,3255304192,1792,26,0,0
6,0,338755,3255304192,1792,16,0,0
7,0,338755,3255304192,1792,16,0,0
8,0,338755,3255304192,1792,16,0,0
9,0,338755,3255304192,1792,16,0,0
10,0,338755,3255304192,1792,16,0,0
11,0,338755,3255304192,1792,16,0,0
12,0,338755,3255304192,1792,16,0,0
13,0,338755,3255304192,1792,16,0,0
14,0,338755,3255304192,1792,16,0,0
15,0,338755,3255304192,1792,16,0,0
0,10,338755,3255304192,1792,16,0,0
1,10,338755,3255304192,1792,16,0,0
2,10,338755,3255304192,1792,16,0,0
3,10,338755,3255304192,1792,16,0,0
4,10,338755,3255304192,1792,16,0,0
5,10,338755,3255304192,1792,16,0,0
6,10,338755,3255304192,1792,16,0,0
7,10,338755,3255304192,1792,16,0,0
8,10,338755,3255304192,1776,32,0,0
9,10,338755,3255304192,1776,32,0,0
10,10,338755,3255304192,1776,32,0,0
11,10,338755,3255304192,1776,32,0,0
12,10,338755,3255304192,1776,32,0,0
13,10,338755,3255304192,1776,32,0,0
14,10,338755,3255304192,1776,32,0,0
15,10,338755,3255304192,1776,32,0,0
0,0,338756,3288334336,1904,48,0,0
1,0,338756,3288334336,2032,48,0,0
2,0,338756,3288334336,2160,38,0,0
3,0,338756,3288334336,3168,32,0,0
4,0,338756,3288334336,1792,32,0,0
5,0,338756,3288334336,1792,26,0,0
6,0,338756,3288334336,1792,16,0,0
7,0,338756,3288334336,1792,16,0,0
8,0,338756,3288334336,1792,16,0,0
9,0,338756,3288334336,1792,16,0,0
10,0,338756,3288334336,1792,16,0,0
11,0,338756,3288334336,1792,16,0,0
12,0,338756,3288334336,1792,16,0,0
13,0,338756,3288334336,1792,16,0,0
14,0,338756,3288334336,1792,16,0,0
15,0,338756,3288334336,1792,16,0,0
0,10,338756,3288334336,1792,16,0,0
1,10,338756,3288334336,1792,16,0,0
2,10,338756,3288334336,1792,16,0,0
3,10,338756,3288334336,1792,16,0,0
4,10,338756,3288334336,1792,16,0,0
5,10,338756,3288334336,1792,16,0,0
6,10,338756,3288334336,1792,16,0,0
7,10,338756,3288334336,1792,16,0,0
8,10,338756,3288334336,1776,32,0,0
9,10,338756,3288334336,1776,32,0,0
10,10,338756,3288334336,1776,32,0,0
11,10,338756,3288334336,1776,32,0,0
12,10,338756,3288334336,1776,32,0,0
13,10,338756,3288334336,1776,32,0,0
14,10,338756,3288334336,1776,32,0,0
15,10,338756,3288334336,1776,32,0,0
0,0,338765,3255566336,1904,48,0,0
1,0,338765,3255566336,2032,48,0,0
2,0,338765,3255566336,2160,38,0,0
3,0,338765,3255566336,3168,32,0,0
4,0,338765,3255566336,1792,32,0,0
5,0,338765,3255566336,1792,26,0,0
6,0,338765,3255566336,1792,16,0,0
7,0,338765,3255566336,1792,16,0,0
8,0,338765,3255566336,1792,16,0,0
9,0,338765,3255566336,1792,16,0,0
10,0,338765,3255566336,1792,16,0,0
11,0,338765,3255566336,1792,16,0,0
12,0,338765,3255566336,1792,16,0,0
13,0,338765,3255566336,1792,16,0,0
14,0,338765,3255566336,1792,16,0,0
15,0,338765,3255566336,1792,16,0,0
0,10,338765,3255566336,1792,16,0,0
1,10,338765,3255566336,1792,16,0,0
2,10,338765,3255566336,1792,16,0,0
3,10,338765,3255566336,1792,16,0,0
4,10,338765,3255566336,1792,16,0,0
5,10,338765,3255566336,1792,16,0,0
6,10,338765,3255566336,1792,16,0,0
7,10,338765,3255566336,1792,16,0,0
8,10,338765,3255566336,1776,32,0,0
9,10,338765,3255566336,1776,32,0,0
10,10,338765,3255566336,1776,32,0,0
11,10,338765,3255566336,1776,32,0,0
12,10,338765,3255566336,1776,32,0,0
13,10,338765,3255566336,1776,32,0,0
14,10,338765,3255566336,1776,32,0,0
15,10,338765,3255566336,1776,32,0,0
0,0,338766,3305111552,1904,48,0,0
1,0,338766,3305111552,2032,48,0,0
2,0,338766,3305111552,2160,38,0,0
3,0,338766,3305111552,3168,32,0,0
4,0,338766,3305111552,1792,32,0,0
5,0,338766,3305111552,1792,26,0,0
6,0,338766,3305111552,1792,16,0,0
7,0,338766,3305111552,1792,16,0,0
8,0,338766,3305111552,1792,16,0,0
9,0,338766,3305111552,1792,16,0,0
10,0,338766,3305111552,1792,16,0,0
11,0,338766,3305111552,1792,16,0,0
12,0,338766,3305111552,1792,16,0,0
13,0,338766,3305111552,1792,16,0,0
14,0,338766,3305111552,1792,16,0,0
15,0,338766,3305111552,1792,16,0,0
0,10,338766,3305111552,1792,16,0,0
1,10,338766,3305111552,1792,16,0,0
2,10,338766,3305111552,1792,16,0,0
3,10,338766,3305111552,1792,16,0,0
4,10,338766,3305111552,1792,16,0,0
5,10,338766,3305111552,1792,16,0,0
6,10,338766,3305111552,1792,16,0,0
7,10,338766,3305111552,1792,16,0,0
8,10,338766,3305111552,1776,32,0,0
9,10,338766,3305111552,1776,32,0,0
10,10,338766,3305111552,1776,32,0,0
11,10,338766,3305111552,1776,32,0,0
12,10,338766,3305111552,1776,32,0,0
13,10,338766,3305111552,1776,32,0,0
14,10,338766,3305111552,1776,32,0,0
15,10,338766,3305111552,1776,32,0,0
0,0,338773,3288858624,1904,48,0,0
1,0,338773,3288858624,2032,48,0,0
2,0,338773,3288858624,2160,38,0,0
3,0,338773,3288858624,3168,32,0,0
4,0,338773,3288858624,1792,32,0,0
5,0,338773,3288858624,1792,26,0,0
6,0,338773,3288858624,1792,16,0,0
7,0,338773,3288858624,1792,16,0,0
8,0,338773,3288858624,1792,16,0,0
9,0,338773,3288858624,1792,16,0,0
10,0,338773,3288858624,1792,16,0,0
11,0,338773,3288858624,1792,16,0,0
12,0,338773,3288858624,1792,16,0,0
13,0,338773,3288858624,1792,16,0,0
14,0,338773,3288858624,1792,16,0,0
15,0,338773,3288858624,1792,16,0,0
0,10,338773,3288858624,1792,16,0,0
1,10,338773,3288858624,1792,16,0,0
2,10,338773,3288858624,1792,16,0,0
3,10,338773,3288858624,1792,16,0,0
4,10,338773,3288858624,1792,16,0,0
5,10,338773,3288858624,1792,16,0,0
6,10,338773,3288858624,1792,16,0,0
7,10,338773,3288858624,1792,16,0,0
8,10,338773,3288858624,1776,32,0,0
9,10,338773,3288858624,1776,32,0,0
10,10,338773,3288858624,1776,32,0,0
11,10,338773,3288858624,1776,32,0,0
12,10,338773,3288858624,1776,32,0,0
13,10,338773,3288858624,1776,32,0,0
14,10,338773,3288858624,1776,32,0,0
15,10,338773,3288858624,1776,32,0,0
0,0,338783,3305635840,1904,48,0,0
1,0,338783,3305635840,2032,48,0,0
2,0,338783,3305635840,2160,38,0,0
3,0,338783,3305635840,3168,32,0,0
4,0,338783,3305635840,1792,32,0,0
5,0,338783,3305635840,1792,26,0,0
6,0,338783,3305635840,1792,16,0,0
7,0,338783,3305635840,1792,16,0,0
8,0,338783,3305635840,1792,16,0,0
9,0,338783,3305635840,1792,16,0,0
10,0,338783,3305635840,1792,16,0,0
11,0,338783,3305635840,1792,16,0,0
12,0,338783,3305635840,1792,16,0,0
13,0,338783,3305635840,1792,16,0,0
14,0,338783,3305635840,1792,16,0,0
15,0,338783,3305635840,1792,16,0,0
0,10,338783,3305635840,1792,16,0,0
1,10,338783,3305635840,1792,16,0,0
2,10,338783,3305635840,1792,16,0,0
3,10,338783,3305635840,1792,16,0,0
4,10,338783,3305635840,1792,16,0,0
5,10,338783,3305635840,1792,16,0,0
6,10,338783,3305635840,1792,16,0,0
7,10,338783,3305635840,1792,16,0,0
8,10,338783,3305635840,1776,32,0,0
9,10,338783,3305635840,1776,32,0,0
10,10,338783,3305635840,1776,32,0,0
11,10,338783,3305635840,1776,32,0,0
12,10,338783,3305635840,1776,32,0,0
13,10,338783,3305635840,1776,32,0,0
14,10,338783,3305635840,1776,32,0,0
15,10,338783,3305635840,1776,32,0,0
0,0,338784,3289120768,1904,48,0,0
1,0,338784,3289120768,2032,48,0,0
2,0,338784,3289120768,2160,38,0,0
3,0,338784,3289120768,3168,32,0,0
4,0,338784,3289120768,1792,32,0,0
5,0,338784,3289120768,1792,26,0,0
6,0,338784,3289120768,1792,16,0,0
7,0,338784,3289120768,1792,16,0,0
8,0,338784,3289120768,1792,16,0,0
9,0,338784,3289120768,1792,16,0,0
10,0,338784,3289120768,1792,16,0,0
11,0,338784,3289120768,1792,16,0,0
12,0,338784,3289120768,1792,16,0,0
13,0,338784,3289120768,1792,16,0,0
14,0,338784,3289120768,1792,16,0,0
15,0,338784,3289120768,1792,16,0,0
0,10,338784,3289120768,1792,16,0,0
1,10,338784,3289120768,1792,16,0,0
2,10,338784,3289120768,1792,16,0,0
3,10,338784,3289120768,1792,16,0,0
4,10,338784,3289120768,1792,16,0,0
5,10,338784,3289120768,1792,16,0,0
6,10,338784,3289120768,1792,16,0,0
7,10,338784,3289120768,1792,16,0,0
8,10,338784,3289120768,1776,32,0,0
9,10,338784,3289120768,1776,32,0,0
10,10,338784,3289120768,1776,32,0,0
11,10,338784,3289120768,1776,32,0,0
12,10,338784,3289120768,1776,32,0,0
13,10,338784,3289120768,1776,32,0,0
14,10,338784,3289120768,1776,32,0,0
15,10,338784,3289120768,1776,32,0,0
0,0,338787,3255042048,1904,48,0,0
1,0,338787,3255042048,2032,48,0,0
2,0,338787,3255042048,2160,38,0,0
3,0,338787,3255042048,3168,32,0,0
4,0,338787,3255042048,1792,32,0,0
5,0,338787,3255042048,1792,26,0,0
6,0,338787,3255042048,1792,16,0,0
7,0,338787,3255042048,1792,16,0,0
8,0,338787,3255042048,1792,16,0,0
9,0,338787,3255042048,1792,16,0,0
10,0,338787,3255042048,1792,16,0,0
11,0,338787,3255042048,1792,16,0,0
12,0,338787,3255042048,1792,16,0,0
13,0,338787,3255042048,1792,16,0,0
14,0,338787,3255042048,1792,16,0,0
15,0,338787,3255042048,1792,16,0,0
0,10,338787,3255042048,1792,16,0,0
1,10,338787,3255042048,1792,16,0,0
2,10,338787,3255042048,1792,16,0,0
3,10,338787,3255042048,1792,16,0,0
4,10,338787,3255042048,1792,16,0,0
5,10,338787,3255042048,1792,16,0,0
6,10,338787,3255042048,1792,16,0,0
7,10,338787,3255042048,1792,16,0,0
8,10,338787,3255042048,1776,32,0,0
9,10,338787,3255042048,1776,32,0,0
10,10,338787,3255042048,1776,32,0,0
11,10,338787,3255042048,1776,32,0,0
12,10,338787,3255042048,1776,32,0,0
13,10,338787,3255042048,1776,32,0,0
14,10,338787,3255042048,1776,32,0,0
15,10,338787,3255042048,1776,32,0,0
0,0,338793,3305897984,1904,48,0,0
1,0,338793,3305897984,2032,48,0,0
2,0,338793,3305897984,2160,38,0,0
3,0,338793,3305897984,3168,32,0,0
4,0,338793,3305897984,1792,32,0,0
5,0,338793,3305897984,1792,26,0,0
6,0,338793,3305897984,1792,16,0,0
7,0,338793,3305897984,1792,16,0,0
8,0,338793,3305897984,1792,16,0,0
9,0,338793,3305897984,1792,16,0,0
10,0,338793,3305897984,1792,16,0,0
11,0,338793,3305897984,1792,16,0,0
12,0,338793,3305897984,1792,16,0,0
13,0,338793,3305897984,1792,16,0,0
14,0,338793,3305897984,1792,16,0,0
15,0,338793,3305897984,1792,16,0,0
0,10,338793,3305897984,1792,16,0,0
1,10,338793,3305897984,1792,16,0,0
2,10,338793,3305897984,1792,16,0,0
3,10,338793,3305897984,1792,16,0,0
4,10,338793,3305897984,1792,16,0,0
5,10,338793,3305897984,1792,16,0,0
6,10,338793,3305897984,1792,16,0,0
7,10,338793,3305897984,1792,16,0,0
8,10,338793,3305897984,1776,32,0,0
9,10,338793,3305897984,1776,32,0,0
10,10,338793,3305897984,1776,32,0,0
11,10,338793,3305897984,1776,32,0,0
12,10,338793,3305897984,1776,32,0,0
13,10,338793,3305897984,1776,32,0,0
14,10,338793,3305897984,1776,32,0,0
15,10,338793,3305897984,1776,32,0,0
0,0,338797,3271557120,1904,48,0,0
1,0,338797,3271557120,2032,48,0,0
2,0,338797,3271557120,2160,38,0,0
3,0,338797,3271557120,3168,32,0,0
4,0,338797,3271557120,1792,32,0,0
5,0,338797,3271557120,1792,26,0,0
6,0,338797,3271557120,1792,16,0,0
7,0,338797,3271557120,1792,16,0,0
8,0,338797,3271557120,1792,16,0,0
9,0,338797,3271557120,1792,16,0,0
10,0,338797,3271557120,1792,16,0,0
11,0,338797,3271557120,1792,16,0,0
12,0,338797,3271557120,1792,16,0,0
13,0,338797,3271557120,1792,16,0,0
14,0,338797,3271557120,1792,16,0,0
15,0,338797,3271557120,1792,16,0,0
0,10,338797,3271557120,1792,16,0,0
1,10,338797,3271557120,1792,16,0,0
2,10,338797,3271557120,1792,16,0,0
3,10,338797,3271557120,1792,16,0,0
4,10,338797,3271557120,1792,16,0,0
5,10,338797,3271557120,1792,16,0,0
6,10,338797,3271557120,1792,16,0,0
7,10,338797,3271557120,1792,16,0,0
8,10,338797,3271557120,1776,32,0,0
9,10,338797,3271557120,1776,32,0,0
10,10,338797,3271557120,1776,32,0,0
11,10,338797,3271557120,1776,32,0,0
12,10,338797,3271557120,1776,32,0,0
13,10,338797,3271557120,1776,32,0,0
14,10,338797,3271557120,1776,32,0,0
15,10,338797,3271557120,1776,32,0,0
0,0,338805,3288596480,1904,48,0,0
1,0,338805,3288596480,2032,48,0,0
2,0,338805,3288596480,2160,38,0,0
3,0,338805,3288596480,3168,32,0,0
4,0,338805,3288596480,1792,32,0,0
5,0,338805,3288596480,1792,26,0,0
6,0,338805,3288596480,1792,16,0,0
7,0,338805,3288596480,1792,16,0,0
8,0,338805,3288596480,1792,16,0,0
9,0,338805,3288596480,1792,16,0,0
10,0,338805,3288596480,1792,16,0,0
11,0,338805,3288596480,1792,16,0,0
12,0,338805,3288596480,1792,16,0,0
13,0,338805,3288596480,1792,16,0,0
14,0,338805,3288596480,1792,16,0,0
15,0,338805,3288596480,1792,16,0,0
0,10,338805,3288596480,1792,16,0,0
1,10,338805,3288596480,1792,16,0,0
2,10,338805,3288596480,1792,16,0,0
3,10,338805,3288596480,1792,16,0,0
4,10,338805,3288596480,1792,16,0,0
5,10,338805,3288596480,1792,16,0,0
6,10,338805,3288596480,1792,16,0,0
7,10,338805,3288596480,1792,16,0,0
8,10,338805,3288596480,1776,32,0,0
9,10,338805,3288596480,1776,32,0,0
10,10,338805,3288596480,1776,32,0,0
11,10,338805,3288596480,1776,32,0,0
12,10,338805,3288596480,1776,32,0,0
13,10,338805,3288596480,1776,32,0,0
14,10,338805,3288596480,1776,32,0,0
15,10,338805,3288596480,1776,32,0,0
0,0,338815,3272081408,1904,48,0,0
1,0,338815,3272081408,2032,48,0,0
2,0,338815,3272081408,2160,38,0,0
3,0,338815,3272081408,3168,32,0,0
4,0,338815,3272081408,1792,32,0,0
5,0,338815,3272081408,1792,26,0,0
6,0,338815,3272081408,1792,16,0,0
7,0,338815,3272081408,1792,16,0,0
8,0,338815,3272081408,1792,16,0,0
9,0,338815,3272081408,1792,16,0,0
10,0,338815,3272081408,1792,16,0,0
11,0,338815,3272081408,1792,16,0,0
12,0,338815,3272081408,1792,16,0,0
13,0,338815,3272081408,1792,16,0,0
14,0,338815,3272081408,1792,16,0,0
15,0,338815,3272081408,1792,16,0,0
0,10,338815,3272081408,1792,16,0,0
1,10,338815,3272081408,1792,16,0,0
2,10,338815,3272081408,1792,16,0,0
3,10,338815,3272081408,1792,16,0,0
4,10,338815,3272081408,1792,16,0,0
5,10,338815,3272081408,1792,16,0,0
6,10,338815,3272081408,1792,16,0,0
7,10,338815,3272081408,1792,16,0,0
8,10,338815,3272081408,1776,32,0,0
9,10,338815,3272081408,1776,32,0,0
10,10,338815,3272081408,1776,32,0,0
11,10,338815,3272081408,1776,32,0,0
12,10,338815,3272081408,1776,32,0,0
13,10,338815,3272081408,1776,32,0,0
14,10,338815,3272081408,1776,32,0,0
15,10,338815,3272081408,1776,32,0,0
0,0,338816,3305373696,1904,48,0,0
1,0,338816,3305373696,2032,48,0,0
2,0,338816,3305373696,2160,38,0,0
3,0,338816,3305373696,3168,32,0,0
4,0,338816,3305373696,1792,32,0,0
5,0,338816,3305373696,1792,26,0,0
6,0,338816,3305373696,1792,16,0,0
7,0,338816,3305373696,1792,16,0,0
8,0,338816,3305373696,1792,16,0,0
9,0,338816,3305373696,1792,16,0,0
10,0,338816,3305373696,1792,16,0,0
11,0,338816,3305373696,1792,16,0,0
12,0,338816,3305373696,1792,16,0,0
13,0,338816,3305373696,1792,16,0,0
14,0,338816,3305373696,1792,16,0,0
15,0,338816,3305373696,1792,16,0,0
0,10,338816,3305373696,1792,16,0,0
1,10,338816,3305373696,1792,16,0,0
2,10,338816,3305373696,1792,16,0,0
3,10,338816,3305373696,1792,16,0,0
4,10,338816,3305373696,1792,16,0,0
5,10,338816,3305373696,1792,16,0,0
6,10,338816,3305373696,1792,16,0,0
7,10,338816,3305373696,1792,16,0,0
8,10,338816,3305373696,1776,32,0,0
9,10,338816,3305373696,1776,32,0,0
10,10,338816,3305373696,1776,32,0,0
11,10,338816,3305373696,1776,32,0,0
12,10,338816,3305373696,1776,32,0,0
13,10,338816,3305373696,1776,32,0,0
14,10,338816,3305373696,1776,32,0,0
15,10,338816,3305373696,1776,32,0,0
0,0,338825,3272343552,1904,48,0,0
1,0,338825,3272343552,2032,48,0,0
2,0,338825,3272343552,2160,38,0,0
3,0,338825,3272343552,3168,32,0,0
4,0,338825,3272343552,1792,32,0,0
5,0,338825,3272343552,1792,26,0,0
6,0,338825,3272343552,1792,16,0,0
7,0,338825,3272343552,1792,16,0,0
8,0,338825,3272343552,1792,16,0,0
9,0,338825,3272343552,1792,16,0,0
10,0,338825,3272343552,1792,16,0,0
11,0,338825,3272343552,1792,16,0,0
12,0,338825,3272343552,1792,16,0,0
13,0,338825,3272343552,1792,16,0,0
14,0,338825,3272343552,1792,16,0,0
15,0,338825,3272343552,1792,16,0,0
0,10,338825,3272343552,1792,16,0,0
1,10,338825,3272343552,1792,16,0,0
2,10,338825,3272343552,1792,16,0,0
3,10,338825,3272343552,1792,16,0,0
4,10,338825,3272343552,1792,16,0,0
5,10,338825,3272343552,1792,16,0,0
6,10,338825,3272343552,1792,16,0,0
7,10,338825,3272343552,1792,16,0,0
8,10,338825,3272343552,1776,32,0,0
9,10,338825,3272343552,1776,32,0,0
10,10,338825,3272343552,1776,32,0,0
11,10,338825,3272343552,1776,32,0,0
12,10,338825,3272343552,1776,32,0,0
13,10,338825,3272343552,1776,32,0,0
14,10,338825,3272343552,1776,32,0,0
15,10,338825,3272343552,1776,32,0,0
0,0,338847,3271819264,1904,48,0,0
1,0,338847,3271819264,2032,48,0,0
2,0,338847,3271819264,2160,38,0,0
3,0,338847,3271819264,3168,32,0,0
4,0,338847,3271819264,1792,32,0,0
5,0,338847,3271819264,1792,26,0,0
6,0,338847,3271819264,1792,16,0,0
7,0,338847,3271819264,1792,16,0,0
8,0,338847,3271819264,1792,16,0,0
9,0,338847,3271819264,1792,16,0,0
10,0,338847,3271819264,1792,16,0,0
11,0,338847,3271819264,1792,16,0,0
12,0,338847,3271819264,1792,16,0,0
13,0,338847,3271819264,1792,16,0,0
14,0,338847,3271819264,1792,16,0,0
15,0,338847,3271819264,1792,16,0,0
0,10,338847,3271819264,1792,16,0,0
1,10,338847,3271819264,1792,16,0,0
2,10,338847,3271819264,1792,16,0,0
3,10,338847,3271819264,1792,16,0,0
4,10,338847,3271819264,1792,16,0,0
5,10,338847,3271819264,1792,16,0,0
6,10,338847,3271819264,1792,16,0,0
7,10,338847,3271819264,1792,16,0,0
8,10,338847,3271819264,1776,32,0,0
9,10,338847,3271819264,1776,32,0,0
10,10,338847,3271819264,1776,32,0,0
11,10,338847,3271819264,1776,32,0,0
12,10,338847,3271819264,1776,32,0,0
13,10,338847,3271819264,1776,32,0,0
14,10,338847,3271819264,1776,32,0,0
15,10,338847,3271819264,1776,32,0,0
